"SEAL_ID","SEX","DATE_OF_DEATH","SEX_CONFIRMATION_FLAG","SEX_CONFIRMATION_RATING"
3136.00,"F",,"U",
4052.00,"F",,"U",
3629.00,"F",,"U",
3154.00,"M",,"U",
3221.00,"F",,"U",
3572.00,"M",,"U",
3663.00,"M",,"U",
4101.00,"M",,"U",
4102.00,"M",,"U",
4103.00,"M",,"U",
4104.00,"M",,"U",
4105.00,"F",,"U",
4106.00,"F",,"U",
4107.00,"F",,"U",
4108.00,"M",,"U",
4109.00,"F",,"U",
4110.00,"M",,"U",
4111.00,"M",,"U",
4112.00,"M",,"U",
4113.00,"F",,"U",
4114.00,"M",,"U",
4115.00,"M",,"U",
4116.00,"M",,"U",
4117.00,"F",,"U",
4118.00,"M",,"U",
4119.00,"F",,"U",
4120.00,"M",,"U",
4121.00,"F",,"U",
4122.00,"M",,"U",
4123.00,"M",,"U",
4124.00,"M",,"U",
4125.00,"F",,"U",
4126.00,"M",,"U",
4127.00,"M",,"U",
4128.00,"M",,"U",
4129.00,"F",,"U",
4130.00,"M",,"U",
4131.00,"F",,"U",
4132.00,"F",,"U",
4133.00,"F",,"U",
4134.00,"F",,"U",
4135.00,"M",,"U",
4136.00,"F",,"U",
4137.00,"F",,"U",
4138.00,"F",,"U",
4139.00,"M",,"U",
4140.00,"M",,"U",
4141.00,"M",,"U",
4142.00,"F",,"U",
4143.00,"F",,"U",
4144.00,"M",,"U",
4145.00,"F",,"U",
4146.00,"F",,"U",
4147.00,"F",,"U",
4148.00,"M",,"U",
4149.00,"M",,"U",
4150.00,"M",,"U",
4151.00,"M",,"U",
4152.00,"M",,"U",
4153.00,"F",,"U",
4154.00,"F",,"U",
4155.00,"F",,"U",
4156.00,"F",,"U",
4157.00,"F",,"U",
4158.00,"M",,"U",
4159.00,"F",,"U",
4160.00,"M",,"U",
4161.00,"M",,"U",
4162.00,"M",,"U",
4163.00,"F",,"U",
4164.00,"F",,"U",
4165.00,"F",,"U",
4166.00,"M",,"U",
4167.00,"M",,"U",
4168.00,"F",,"U",
4169.00,"M",,"U",
4170.00,"F",,"U",
4171.00,"M",,"U",
4172.00,"M",,"U",
4173.00,"M",,"U",
4174.00,"M",,"U",
4175.00,"M",,"U",
4176.00,"F",,"U",
4177.00,"F",,"U",
4178.00,"M",,"U",
4179.00,"M",,"U",
4180.00,"M",,"U",
4181.00,"M",,"U",
4182.00,"M",,"U",
4183.00,"M",,"U",
4184.00,"M",,"U",
4185.00,"M",,"U",
4186.00,"F",,"U",
4187.00,"F",,"U",
4188.00,"F",,"U",
4189.00,"M",,"U",
4190.00,"M",,"U",
4191.00,"M",,"U",
4192.00,"M",,"U",
4193.00,"M",,"U",
4194.00,"M",,"U",
4195.00,"M",,"U",
4196.00,"M",,"U",
4197.00,"M",,"U",
4198.00,"F",,"U",
4199.00,"M",,"U",
4200.00,"F",,"U",
4201.00,"F",,"U",
4202.00,"M",,"U",
4203.00,"F",,"U",
4204.00,"M",,"U",
4205.00,"M",,"U",
4206.00,"M",,"U",
4207.00,"M",,"U",
4208.00,"M",,"U",
4209.00,"F",,"U",
4210.00,"M",,"U",
4211.00,"F",,"U",
4212.00,"F",,"U",
4213.00,"M",,"U",
4214.00,"M",,"U",
4215.00,"M",,"U",
4216.00,"F",,"U",
4217.00,"M",,"U",
4218.00,"M",,"U",
4219.00,"M",,"U",
4220.00,"F",,"U",
4221.00,"F",,"U",
4222.00,"F",,"U",
4223.00,"F",,"U",
4224.00,"M",,"U",
4225.00,"M",,"U",
4226.00,"F",,"U",
4227.00,"F",,"U",
4228.00,"M",,"U",
4229.00,"F",,"U",
4230.00,"F",,"U",
4231.00,"M",,"U",
4232.00,"M",,"U",
4233.00,"M",,"U",
4234.00,"M",,"U",
4235.00,"M",,"U",
4236.00,"M",,"U",
4237.00,"M",,"U",
4238.00,"F",,"U",
4239.00,"F",,"U",
4240.00,"F",,"U",
4241.00,"F",,"U",
4242.00,"M",,"U",
4243.00,"F",,"U",
4244.00,"F",,"U",
4245.00,"F",,"U",
4246.00,"M",,"U",
4247.00,"F",,"U",
4248.00,"F",,"U",
4249.00,"M",,"U",
4250.00,"M",,"U",
4251.00,"M",,"U",
4252.00,"F",,"U",
4253.00,"M",,"U",
4635.00,"M",,"U",
4636.00,"F",,"U",
4637.00,"M",,"U",
4638.00,"F",,"U",
4639.00,"M",,"U",
4640.00,"M",,"U",
4641.00,"F",,"U",
4642.00,"F",,"U",
4643.00,"F",,"U",
4644.00,"M",,"U",
4645.00,"M",,"U",
4646.00,"M",,"U",
4647.00,"F",,"U",
4648.00,"F",,"U",
4649.00,"M",,"U",
4650.00,"F",,"U",
4651.00,"M",,"U",
4652.00,"F",,"U",
4653.00,"M",,"U",
4654.00,"M",,"U",
4655.00,"M",,"U",
4656.00,"M",,"U",
4657.00,"M",,"U",
4658.00,"M",,"U",
4659.00,"F",,"U",
4660.00,"F",,"U",
4661.00,"M",,"U",
4662.00,"M",,"U",
4663.00,"F",,"U",
4664.00,"F",,"U",
4665.00,"F",,"U",
4666.00,"F",,"U",
4667.00,"F",,"U",
4668.00,"M",,"U",
4669.00,"M",,"U",
4670.00,"M",,"U",
4671.00,"M",,"U",
4672.00,"F",,"U",
4673.00,"M",,"U",
4674.00,"F",,"U",
4675.00,"M",,"U",
4676.00,"F",,"U",
4677.00,"M",,"U",
4678.00,"F",,"U",
4679.00,"M",,"U",
4680.00,"M",,"U",
4681.00,"F",,"U",
4682.00,"M",,"U",
4683.00,"F",,"U",
4684.00,"F",,"U",
4685.00,"M",,"U",
4686.00,"M",,"U",
4687.00,"M",,"U",
4688.00,"F",,"U",
4689.00,"F",,"U",
4690.00,"M",,"U",
4691.00,"M",,"U",
4692.00,"F",,"U",
4693.00,"M",,"U",
4694.00,"F",,"U",
4695.00,"M",,"U",
4696.00,"F",,"U",
4697.00,"M",,"U",
4698.00,"F",,"U",
4699.00,"M",,"U",
4700.00,"F",,"U",
4701.00,"F",,"U",
4702.00,"M",,"U",
4703.00,"M",,"U",
4704.00,"F",,"U",
4705.00,"F",,"U",
4706.00,"F",,"U",
4707.00,"F",,"U",
4708.00,"F",,"U",
4709.00,"F",,"U",
4710.00,"F",,"U",
4711.00,"F",,"U",
4712.00,"M",,"U",
4713.00,"M",,"U",
4714.00,"M",,"U",
4715.00,"M",,"U",
4716.00,"M",,"U",
4717.00,"F",,"U",
4718.00,"M",,"U",
4719.00,"M",,"U",
4720.00,"M",,"U",
4721.00,"M",,"U",
4722.00,"M",,"U",
4723.00,"F",,"U",
4724.00,"M",,"U",
4725.00,"F",,"U",
4726.00,"F",,"U",
4727.00,"F",,"U",
4728.00,"M",,"U",
4729.00,"M",,"U",
4730.00,"M",,"U",
4731.00,"F",,"U",
4732.00,"F",,"U",
4733.00,"F",,"U",
4734.00,"F",,"U",
4735.00,"M",,"U",
4736.00,"M",,"U",
4737.00,"M",,"U",
4738.00,"M",,"U",
4739.00,"M",,"U",
4740.00,"F",,"U",
4741.00,"M",,"U",
4742.00,"F",,"U",
4743.00,"F",,"U",
4744.00,"M",,"U",
4745.00,"F",,"U",
4746.00,"F",,"U",
4747.00,"F",,"U",
4748.00,"M",,"U",
4749.00,"M",,"U",
4750.00,"M",,"U",
4751.00,"M",,"U",
4752.00,"F",,"U",
4753.00,"F",,"U",
4754.00,"F",,"U",
4755.00,"F",,"U",
4756.00,"M",,"U",
4757.00,"F",,"U",
4758.00,"M",,"U",
4759.00,"F",,"U",
4760.00,"M",,"U",
4761.00,"F",,"U",
4762.00,"F",,"U",
4763.00,"F",,"U",
4764.00,"F",,"U",
4765.00,"M",,"U",
