"SEAL_ID","SEX","TAG_MATRIX","SURVIVAL_MATRIX","YEAR_BORN","BLACK_MASS","WEAN_MASS","BRANDED","COW_MASS","TAGS_USED","BRANDS_USED","PUP_MATRIX"
16918.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1958",,,"0",," MKFZ",,"00000000000000000000000000"
16973.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1958",,,"0",," MKKS",,"00000000000000000000000000"
17308.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMHAL",,"00000000000000000000000000"
17449.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMNSL",,"00000000000000000000000000"
17505.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMSJL",,"00000000000000000000000000"
25080.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000100000000000","1998",,,"1",,," E756","00000000000000100000000000"
25153.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000100000000000","1998",,,"1",,," E829","00000000000000100000000000"
25201.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000110100000000","1998",,,"1",,," E877","00000000000000100000000000"
25357.00,"0","UUUUUUUUUUUUUU0UUUUUUUUUUU","00000000000000111000000000","1998",,,"1",,," P972","00000000000000100000000000"
25442.00,"0","UUUUUUUUUUUUUU2UUUUUUUUUUU","00000000000000100000000000","1998",,"121","0",," O8105 O8106",,"00000000000000100000000000"
25510.00,"1","UUUUUUUUUUUUUUU2UUUUUUUUUU","00000000000000010000000000","1999","55","107","1",," O7343 O7344"," T861","00000000000000010000000000"
25548.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000010000000000","1999","41","150","1",," O7413 O7414"," T151","00000000000000010000000000"
25579.00,"1","UUUUUUUUUUUUUUU2UUUUUUUUUU","00000000000000010000000000","1999","36",,"0",," O7471 O7472",,"00000000000000010000000000"
25586.00,"0","UUUUUUUUUUUUUUU211UUUUUUUU","00000000000000011100000000","1999","39","115","0",," O7485 O7486",,"00000000000000010000000000"
