"","ref","ptt","deployment.start","deployment.end","deployment.dur","left.colony","combFit","augFit","augFit_pf0.3","year_ptt","year","brand","tag1","tag2","SEAL_ID","SEAL_TAG_TYPE"
"52","mq1-22490-95","22490",1995-11-28 08:09:29,1996-04-28 16:10:59,152.3,1,-,-,-,"1995_22490",1995,"J429","8927","8928",7664,"B"
"53","mq1-22499-95","22499",1995-12-05 03:13:25,1996-06-02 12:21:03,180.4,1,-,-,-,"1995_22499",-,-,-,-,-,-
"54","mq1-22500-95","22500",1995-11-27 02:59:56,1996-05-03 04:35:54,158.1,1,-,-,-,"1995_22500",1995,"J803","8340","8341",7392,"B"
"55","mq1-22501-95","22501",1995-12-04 09:21:05,1996-01-19 05:12:00,45.8,1,-,-,-,"1995_22501",1995,"J012","8258","8259",7357,"B"
"56","mq1-26625-95","26625",1995-11-28 06:09:17,1996-03-22 19:35:36,115.6,1,-,-,-,"1995_26625",1995,"J766","8114","8115",7279,"B"
"57","mq1-26627-95","26627",1995-11-29 06:02:51,1996-02-11 05:50:51,74,1,-,-,-,"1995_26627",-,-,-,-,-,-
"58","mq1-26628-95","26628",1995-11-29 05:59:40,1996-04-05 16:13:57,128.4,1,-,-,-,"1995_26628",1995,"J483","9230","9231",7855,"B"
"59","mq1-26629-95","26629",1995-12-01 03:57:14,1995-12-23 17:16:46,22.6,1,-,-,-,"1995_26629",1995,"J708","8598","8599",7497,"B"
"60","mq1-26633-95","26633",1995-11-28 02:47:35,1995-12-19 15:26:06,21.5,1,-,-,-,"1995_26633",1995,"J591","9017","9018",7710,"B"
"61","mq1-26635-95","26635",1995-11-28 04:31:05,1996-05-14 08:50:32,168.2,1,-,-,-,"1995_26635",1995,"J375","8742","8743",7542,"B"
"62","mq1-2849-95","2849",1995-12-01 05:37:45,1996-04-16 14:16:00,137.4,1,-,-,-,"1995_2849",1995,"J373","9788",-,8108,"B"
"63","mq1-5811-95","5811",1995-12-04 05:06:41,1996-01-29 06:42:22,56.1,1,-,-,-,"1995_5811",1995,"J032","8048","8049",7254,"B"
